(tensor(1.1105, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3681, device='cuda:0', grad_fn=<AddBackward0>), 450)
(tensor(1.2545, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7588, device='cuda:0', grad_fn=<AddBackward0>), 460)
(tensor(1.4408, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2467, device='cuda:0', grad_fn=<AddBackward0>), 470)
(tensor(1.2583, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8290, device='cuda:0', grad_fn=<AddBackward0>), 480)
(tensor(1.7235, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0339, device='cuda:0', grad_fn=<AddBackward0>), 490)
(tensor(1.5223, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0370, device='cuda:0', grad_fn=<AddBackward0>), 500)
(tensor(0.8855, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3956, device='cuda:0', grad_fn=<AddBackward0>), 510)
(tensor(1.0615, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.6033, device='cuda:0', grad_fn=<AddBackward0>), 520)
(tensor(1.0026, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9169, device='cuda:0', grad_fn=<AddBackward0>), 530)
(tensor(0.5056, device='cuda:0', grad_fn=<MeanBackward0>), tensor(2.0842, device='cuda:0', grad_fn=<AddBackward0>), 540)
(tensor(1.3872, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7551, device='cuda:0', grad_fn=<AddBackward0>), 550)
(tensor(1.1160, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7077, device='cuda:0', grad_fn=<AddBackward0>), 560)
(tensor(1.5753, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8310, device='cuda:0', grad_fn=<AddBackward0>), 570)
(tensor(0.9983, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3188, device='cuda:0', grad_fn=<AddBackward0>), 580)
(tensor(1.7169, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6385, device='cuda:0', grad_fn=<AddBackward0>), 590)
(tensor(0.8664, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0363, device='cuda:0', grad_fn=<AddBackward0>), 600)
(tensor(1.0755, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2027, device='cuda:0', grad_fn=<AddBackward0>), 610)
(tensor(1.2126, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0169, device='cuda:0', grad_fn=<AddBackward0>), 620)
(tensor(0.3887, device='cuda:0', grad_fn=<MeanBackward0>), tensor(2.5314, device='cuda:0', grad_fn=<AddBackward0>), 630)
(tensor(1.1535, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9134, device='cuda:0', grad_fn=<AddBackward0>), 640)
(tensor(1.0603, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0049, device='cuda:0', grad_fn=<AddBackward0>), 650)
(tensor(1.0781, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1869, device='cuda:0', grad_fn=<AddBackward0>), 660)
(tensor(0.7330, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.7983, device='cuda:0', grad_fn=<AddBackward0>), 670)
(tensor(0.9638, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3506, device='cuda:0', grad_fn=<AddBackward0>), 680)
(tensor(1.3739, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5964, device='cuda:0', grad_fn=<AddBackward0>), 690)
(tensor(0.9578, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3959, device='cuda:0', grad_fn=<AddBackward0>), 700)
(tensor(1.4592, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7728, device='cuda:0', grad_fn=<AddBackward0>), 710)
(tensor(0.7060, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0491, device='cuda:0', grad_fn=<AddBackward0>), 720)
(tensor(1.8182, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4837, device='cuda:0', grad_fn=<AddBackward0>), 730)
(tensor(0.9782, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2721, device='cuda:0', grad_fn=<AddBackward0>), 740)
(tensor(1.0110, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1208, device='cuda:0', grad_fn=<AddBackward0>), 750)
(tensor(0.5689, device='cuda:0', grad_fn=<MeanBackward0>), tensor(2.1412, device='cuda:0', grad_fn=<AddBackward0>), 760)
(tensor(0.9853, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1070, device='cuda:0', grad_fn=<AddBackward0>), 770)
(tensor(1.7971, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6433, device='cuda:0', grad_fn=<AddBackward0>), 780)
(tensor(5.8960, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7013, device='cuda:0', grad_fn=<AddBackward0>), 790)
(tensor(1.0150, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1562, device='cuda:0', grad_fn=<AddBackward0>), 800)
(tensor(1.1467, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7735, device='cuda:0', grad_fn=<AddBackward0>), 810)
(tensor(3.2109, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7873, device='cuda:0', grad_fn=<AddBackward0>), 820)
(tensor(1.9310, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7972, device='cuda:0', grad_fn=<AddBackward0>), 830)
(tensor(1.5770, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6835, device='cuda:0', grad_fn=<AddBackward0>), 840)
(tensor(2.0193, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4240, device='cuda:0', grad_fn=<AddBackward0>), 850)
(tensor(0.9348, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.7811, device='cuda:0', grad_fn=<AddBackward0>), 860)
(tensor(0.7889, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2718, device='cuda:0', grad_fn=<AddBackward0>), 870)
(tensor(1.9304, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0615, device='cuda:0', grad_fn=<AddBackward0>), 880)
(tensor(2.1006, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.3275, device='cuda:0', grad_fn=<AddBackward0>), 890)
(tensor(5.4475, device='cuda:0', grad_fn=<MeanBackward0>), tensor(4.2713, device='cuda:0', grad_fn=<AddBackward0>), 900)
(tensor(1.2257, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9072, device='cuda:0', grad_fn=<AddBackward0>), 910)
(tensor(1.2696, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0116, device='cuda:0', grad_fn=<AddBackward0>), 920)
(tensor(0.5925, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.6968, device='cuda:0', grad_fn=<AddBackward0>), 930)
(tensor(1.3601, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9519, device='cuda:0', grad_fn=<AddBackward0>), 940)
(tensor(1.5996, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8059, device='cuda:0', grad_fn=<AddBackward0>), 950)
(tensor(1.3377, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6288, device='cuda:0', grad_fn=<AddBackward0>), 960)
(tensor(1.1664, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1616, device='cuda:0', grad_fn=<AddBackward0>), 970)
(tensor(0.0539, device='cuda:0', grad_fn=<MeanBackward0>), tensor(3.8820, device='cuda:0', grad_fn=<AddBackward0>), 980)
(tensor(0.9316, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1952, device='cuda:0', grad_fn=<AddBackward0>), 990)
